date,stock_id,dividend_yield,PER,PBR
2008-04-09,1413,0.0,0.0,0.61
2008-04-10,1413,0.0,0.0,0.62
2008-04-11,1413,0.0,0.0,0.61
2008-04-14,1413,0.0,0.0,0.63
2008-04-15,1413,0.0,0.0,0.67
2008-04-16,1413,0.0,0.0,0.72
2008-04-17,1413,0.0,0.0,0.67
2008-04-18,1413,0.0,0.0,0.68
2008-04-21,1413,0.0,0.0,0.68
2008-04-22,1413,0.0,0.0,0.66
2008-04-23,1413,0.0,0.0,0.67
2008-04-24,1413,0.0,0.0,0.68
2008-04-25,1413,0.0,0.0,0.67
2008-04-29,1413,0.0,0.0,0.64
2008-04-30,1413,0.0,52.38,0.64
2008-05-02,1413,0.0,416.0,0.64
2008-05-05,1413,0.0,419.0,0.64
2008-05-07,1413,0.0,406.0,0.62
2008-05-08,1413,0.0,410.0,0.63
2008-05-09,1413,0.0,412.0,0.63
2008-05-12,1413,0.0,410.0,0.63
2008-05-13,1413,0.0,400.0,0.62
2008-05-14,1413,0.0,395.0,0.61
2008-05-15,1413,0.0,405.0,0.62
2008-05-16,1413,0.0,408.0,0.63
2008-05-19,1413,0.0,415.0,0.64
2008-05-20,1413,0.0,411.0,0.63
2008-05-21,1413,0.0,406.0,0.62
2008-05-22,1413,0.0,407.0,0.63
2008-05-23,1413,0.0,412.0,0.63
2008-05-26,1413,0.0,402.0,0.62
2008-05-27,1413,0.0,396.0,0.61
2008-05-28,1413,0.0,393.0,0.6
2008-05-29,1413,0.0,376.0,0.58
2008-05-30,1413,0.0,361.0,0.56
2008-06-02,1413,0.0,363.0,0.56
2008-06-03,1413,0.0,362.0,0.56
2008-06-04,1413,0.0,365.0,0.56
2008-06-05,1413,0.0,367.0,0.56
2008-06-06,1413,0.0,375.0,0.58
2008-06-09,1413,0.0,363.0,0.56
2008-06-10,1413,0.0,357.0,0.55
2008-06-11,1413,0.0,347.0,0.53
2008-06-12,1413,0.0,323.0,0.5
2008-06-13,1413,0.0,329.0,0.51
2008-06-16,1413,0.0,333.0,0.51
2008-06-17,1413,0.0,334.0,0.51
2008-06-18,1413,0.0,337.0,0.52
2008-06-19,1413,0.0,325.0,0.5
2008-06-20,1413,0.0,320.0,0.49
2008-06-23,1413,0.0,310.0,0.48
2008-06-24,1413,0.0,305.0,0.47
2008-06-25,1413,0.0,306.0,0.47
2008-06-26,1413,0.0,315.0,0.48
2008-06-27,1413,0.0,299.0,0.46
2008-06-30,1413,0.0,292.0,0.45
2008-07-01,1413,0.0,286.0,0.44
2008-07-02,1413,0.0,288.0,0.44
2008-07-03,1413,0.0,295.0,0.45
2008-07-04,1413,0.0,290.0,0.45
2008-07-07,1413,0.0,299.0,0.46
2008-07-08,1413,0.0,292.0,0.45
2008-07-09,1413,0.0,293.0,0.45
2008-07-10,1413,0.0,300.0,0.46
2008-07-11,1413,0.0,304.0,0.47
2008-07-14,1413,0.0,293.0,0.45
2008-07-15,1413,0.0,273.0,0.42
2008-07-16,1413,0.0,255.0,0.39
2008-07-17,1413,0.0,264.0,0.41
2008-07-18,1413,0.0,250.0,0.38
2008-07-21,1413,0.0,266.0,0.41
2008-07-22,1413,0.0,272.0,0.42
2008-07-23,1413,0.0,291.0,0.45
2008-07-24,1413,0.0,300.0,0.46
2008-07-25,1413,0.0,294.0,0.45
2008-07-29,1413,0.0,288.0,0.44
2008-07-30,1413,0.0,288.0,0.44
2008-07-31,1413,0.0,275.0,0.42
2008-08-01,1413,0.0,275.0,0.42
2008-08-04,1413,0.0,270.0,0.42
2008-08-05,1413,0.0,266.0,0.41
2008-08-06,1413,0.0,274.0,0.42
2008-08-07,1413,0.0,267.0,0.41
2008-08-08,1413,0.0,285.0,0.44
2008-08-11,1413,0.0,285.0,0.44
2008-08-12,1413,0.0,280.0,0.43
2008-08-13,1413,0.0,285.0,0.44
2008-08-14,1413,0.0,300.0,0.46
2008-08-15,1413,0.0,29.35,1.43
2008-08-18,1413,0.0,277.0,0.43
2008-08-19,1413,0.0,282.0,0.43
2008-08-20,1413,0.0,281.0,0.43
2008-08-21,1413,0.0,275.0,0.42
2008-08-22,1413,0.0,272.0,0.42
2008-08-25,1413,0.0,272.0,0.42
2008-08-26,1413,0.0,268.0,0.41
2008-08-27,1413,0.0,274.0,0.42
2008-08-28,1413,0.0,270.0,0.42
2008-08-29,1413,0.0,270.0,0.42
2008-09-01,1413,0.0,252.0,0.4
2008-09-02,1413,0.0,84.0,0.4
2008-09-03,1413,0.0,79.67,0.38
2008-09-04,1413,0.0,76.67,0.36
2008-09-05,1413,0.0,74.33,0.35
2008-09-08,1413,0.0,79.33,0.38
2008-09-09,1413,0.0,74.0,0.35
2008-09-10,1413,0.0,75.67,0.36
2008-09-11,1413,0.0,72.33,0.34
2008-09-12,1413,0.0,73.67,0.35
2008-09-15,1413,0.0,69.0,0.33
2008-09-16,1413,0.0,64.67,0.31
2008-09-17,1413,0.0,65.33,0.31
2008-09-18,1413,0.0,61.33,0.29
2008-09-19,1413,0.0,64.67,0.31
2008-09-22,1413,0.0,67.67,0.32
2008-09-23,1413,0.0,67.67,0.32
2008-09-24,1413,0.0,69.0,0.33
2008-09-25,1413,0.0,70.67,0.34
2008-09-26,1413,0.0,69.67,0.33
2008-09-30,1413,0.0,66.0,0.31
2008-10-01,1413,0.0,66.67,0.32
2008-10-02,1413,0.0,66.0,0.31
2008-10-03,1413,0.0,66.0,0.31
2008-10-06,1413,0.0,63.33,0.3
2008-10-07,1413,0.0,63.33,0.3
2008-10-08,1413,0.0,59.0,0.28
2008-10-09,1413,0.0,56.0,0.27
2008-10-13,1413,0.0,54.33,0.26
2008-10-14,1413,0.0,58.0,0.28
2008-10-15,1413,0.0,57.0,0.27
2008-10-16,1413,0.0,55.67,0.26
2008-10-17,1413,0.0,56.0,0.27
2008-10-20,1413,0.0,58.33,0.28
2008-10-21,1413,0.0,59.0,0.28
2008-10-22,1413,0.0,57.33,0.27
2008-10-23,1413,0.0,57.0,0.27
2008-10-24,1413,0.0,55.33,0.26
2008-10-27,1413,0.0,55.0,0.26
2008-10-28,1413,0.0,55.67,0.26
2008-10-29,1413,0.0,56.67,0.27
2008-10-30,1413,0.0,60.33,0.29
2008-10-31,1413,0.0,60.33,0.3
2008-11-03,1413,0.0,0.0,0.3
2008-11-04,1413,0.0,0.0,0.28
2008-11-05,1413,0.0,0.0,0.3
2008-11-06,1413,0.0,0.0,0.29
2008-11-07,1413,0.0,0.0,0.29
2008-11-10,1413,0.0,0.0,0.31
2008-11-12,1413,0.0,0.0,0.29
2008-11-13,1413,0.0,0.0,0.28
2008-11-14,1413,0.0,0.0,0.26
2008-11-17,1413,0.0,0.0,0.25
2008-11-18,1413,0.0,0.0,0.24
2008-11-19,1413,0.0,0.0,0.23
2008-11-20,1413,0.0,0.0,0.22
2008-11-21,1413,0.0,0.0,0.23
2008-11-24,1413,0.0,0.0,0.23
2008-11-25,1413,0.0,0.0,0.22
2008-11-26,1413,0.0,0.0,0.23
2008-11-27,1413,0.0,0.0,0.24
2008-11-28,1413,0.0,0.0,0.26
2008-12-01,1413,0.0,0.0,0.28
2008-12-02,1413,0.0,0.0,0.29
2008-12-03,1413,0.0,0.0,0.3
2008-12-04,1413,0.0,0.0,0.28
2008-12-05,1413,0.0,0.0,0.26
2008-12-08,1413,0.0,0.0,0.25
2008-12-09,1413,0.0,0.0,0.26
2008-12-10,1413,0.0,0.0,0.28
2008-12-11,1413,0.0,0.0,0.27
2008-12-12,1413,0.0,0.0,0.26
2008-12-15,1413,0.0,0.0,0.27
2008-12-16,1413,0.0,0.0,0.26
2008-12-17,1413,0.0,0.0,0.26
2008-12-18,1413,0.0,0.0,0.27
2008-12-19,1413,0.0,0.0,0.27
2008-12-22,1413,0.0,0.0,0.26
2008-12-23,1413,0.0,0.0,0.25
2008-12-24,1413,0.0,0.0,0.25
2008-12-25,1413,0.0,0.0,0.25
2008-12-26,1413,0.0,0.0,0.25
2008-12-29,1413,0.0,0.0,0.25
2008-12-30,1413,0.0,0.0,0.26
2008-12-31,1413,0.0,0.0,0.28
2009-01-05,1413,0.0,0.0,0.29
2009-01-06,1413,0.0,0.0,0.29
2009-01-07,1413,0.0,0.0,0.29
2009-01-08,1413,0.0,0.0,0.27
2009-01-09,1413,0.0,0.0,0.27
2009-01-10,1413,0.0,0.0,0.27
2009-01-12,1413,0.0,0.0,0.28
2009-01-13,1413,0.0,0.0,0.29
2009-01-14,1413,0.0,0.0,0.29
2009-01-15,1413,0.0,0.0,0.29
2009-01-16,1413,0.0,0.0,0.28
2009-01-17,1413,0.0,0.0,0.28
2009-01-19,1413,0.0,0.0,0.27
2009-01-20,1413,0.0,0.0,0.27
2009-01-21,1413,0.0,0.0,0.27
2009-02-02,1413,0.0,0.0,0.26
2009-02-03,1413,0.0,0.0,0.28
2009-02-04,1413,0.0,0.0,0.27
2009-02-05,1413,0.0,0.0,0.27
2009-02-06,1413,0.0,0.0,0.27
2009-02-09,1413,0.0,0.0,0.28
2009-02-10,1413,0.0,0.0,0.27
2009-02-11,1413,0.0,0.0,0.28
2009-02-12,1413,0.0,0.0,0.27
2009-02-13,1413,0.0,0.0,0.27
2009-02-16,1413,0.0,0.0,0.27
2009-02-17,1413,0.0,0.0,0.25
2009-02-18,1413,0.0,0.0,0.26
2009-02-19,1413,0.0,0.0,0.25
2009-02-20,1413,0.0,0.0,0.25
2009-02-23,1413,0.0,0.0,0.25
2009-02-24,1413,0.0,0.0,0.25
2009-02-25,1413,0.0,0.0,0.25
2009-02-26,1413,0.0,0.0,0.25
2009-02-27,1413,0.0,0.0,0.25
2009-03-02,1413,0.0,0.0,0.25
2009-03-03,1413,0.0,0.0,0.25
2009-03-04,1413,0.0,0.0,0.25
2009-03-05,1413,0.0,0.0,0.26
2009-03-06,1413,0.0,0.0,0.26
2009-03-09,1413,0.0,0.0,0.27
2009-03-10,1413,0.0,0.0,0.27
2009-03-11,1413,0.0,0.0,0.29
2009-03-12,1413,0.0,0.0,0.29
2009-03-13,1413,0.0,0.0,0.28
2009-03-16,1413,0.0,0.0,0.3
2009-03-17,1413,0.0,0.0,0.31
2009-03-18,1413,0.0,0.0,0.31
2009-03-19,1413,0.0,0.0,0.33
2009-03-20,1413,0.0,0.0,0.33
2009-03-23,1413,0.0,0.0,0.32
2009-03-24,1413,0.0,0.0,0.32
2009-03-25,1413,0.0,0.0,0.32
2009-03-26,1413,0.0,0.0,0.33
2009-03-27,1413,0.0,0.0,0.34
2009-03-30,1413,0.0,0.0,0.33
2009-03-31,1413,0.0,0.0,0.32
2009-04-01,1413,0.0,0.0,0.33
2009-04-02,1413,0.0,0.0,0.35
2009-04-03,1413,0.0,0.0,0.36
2009-04-06,1413,0.0,0.0,0.36
2009-04-07,1413,0.0,0.0,0.37
2009-04-08,1413,0.0,0.0,0.35
2009-04-09,1413,0.0,0.0,0.37
2009-04-10,1413,0.0,0.0,0.38
2009-04-13,1413,0.0,0.0,0.41
2009-04-14,1413,0.0,0.0,0.44
2009-04-15,1413,0.0,0.0,0.47
2009-04-16,1413,0.0,0.0,0.49
2009-04-17,1413,0.0,0.0,0.46
2009-04-20,1413,0.0,0.0,0.42
2009-04-21,1413,0.0,0.0,0.44
2009-04-22,1413,0.0,0.0,0.42
2009-04-23,1413,0.0,0.0,0.41
2009-04-24,1413,0.0,0.0,0.42
2009-04-27,1413,0.0,0.0,0.39
2009-04-28,1413,0.0,0.0,0.37
2009-04-29,1413,0.0,0.0,0.4
2009-04-30,1413,0.0,0.0,0.43
2009-05-04,1413,0.0,0.0,0.47
2009-05-05,1413,0.0,0.0,0.44
2009-05-06,1413,0.0,0.0,0.42
2009-05-07,1413,0.0,0.0,0.44
2009-05-08,1413,0.0,0.0,0.44
2009-05-11,1413,0.0,0.0,0.46
2009-05-12,1413,0.0,0.0,0.46
2009-05-13,1413,0.0,0.0,0.47
2009-05-14,1413,0.0,0.0,0.45
2009-05-15,1413,0.0,0.0,0.46
2009-05-18,1413,0.0,0.0,0.46
2009-05-19,1413,0.0,0.0,0.45
2009-05-20,1413,0.0,0.0,0.46
2009-05-21,1413,0.0,0.0,0.47
2009-05-22,1413,0.0,0.0,0.46
2009-05-25,1413,0.0,0.0,0.49
2009-05-26,1413,0.0,0.0,0.49
2009-05-27,1413,0.0,0.0,0.49
2009-06-01,1413,0.0,0.0,0.48
2009-06-02,1413,0.0,0.0,0.46
2009-06-03,1413,0.0,0.0,0.45
2009-06-04,1413,0.0,0.0,0.46
2009-06-05,1413,0.0,0.0,0.46
2009-06-06,1413,0.0,0.0,0.46
2009-06-08,1413,0.0,0.0,0.46
2009-06-09,1413,0.0,0.0,0.43
2009-06-10,1413,0.0,0.0,0.42
2009-06-11,1413,0.0,0.0,0.43
2009-06-12,1413,0.0,0.0,0.41
2009-06-15,1413,0.0,0.0,0.39
2009-06-16,1413,0.0,0.0,0.39
2009-06-17,1413,0.0,0.0,0.4
2009-06-18,1413,0.0,0.0,0.39
2009-06-19,1413,0.0,0.0,0.39
2009-06-22,1413,0.0,0.0,0.39
2009-06-23,1413,0.0,0.0,0.4
2009-06-24,1413,0.0,0.0,0.4
2009-06-25,1413,0.0,0.0,0.39
2009-06-26,1413,0.0,0.0,0.39
2009-06-29,1413,0.0,0.0,0.39
2009-06-30,1413,0.0,0.0,0.39
2009-07-01,1413,0.0,0.0,0.38
2009-07-02,1413,0.0,0.0,0.41
2009-07-03,1413,0.0,0.0,0.44
2009-07-06,1413,0.0,0.0,0.44
2009-07-07,1413,0.0,0.0,0.42
2009-07-08,1413,0.0,0.0,0.45
2009-07-09,1413,0.0,0.0,0.43
2009-07-10,1413,0.0,0.0,0.43
2009-07-13,1413,0.0,0.0,0.4
2009-07-14,1413,0.0,0.0,0.41
2009-07-15,1413,0.0,0.0,0.41
2009-07-16,1413,0.0,0.0,0.4
2009-07-17,1413,0.0,0.0,0.4
2009-07-20,1413,0.0,0.0,0.4
2009-07-21,1413,0.0,0.0,0.4
2009-07-22,1413,0.0,0.0,0.4
2009-07-23,1413,0.0,0.0,0.4
2009-07-24,1413,0.0,0.0,0.4
2009-07-27,1413,0.0,0.0,0.42
2009-07-28,1413,0.0,0.0,0.43
2009-07-29,1413,0.0,0.0,0.41
2009-07-30,1413,0.0,0.0,0.41
2009-07-31,1413,0.0,0.0,0.41
2009-08-03,1413,0.0,0.0,0.43
2009-08-04,1413,0.0,0.0,0.43
2009-08-05,1413,0.0,0.0,0.43
2009-08-06,1413,0.0,0.0,0.42
2009-08-10,1413,0.0,0.0,0.42
2009-08-11,1413,0.0,0.0,0.42
2009-08-12,1413,0.0,0.0,0.42
2009-08-13,1413,0.0,0.0,0.43
2009-08-14,1413,0.0,0.0,0.43
2009-08-17,1413,0.0,0.0,0.43
2009-08-18,1413,0.0,0.0,0.42
2009-08-19,1413,0.0,0.0,0.42
2009-08-20,1413,0.0,0.0,0.42
2009-08-21,1413,0.0,0.0,0.42
2009-08-24,1413,0.0,0.0,0.41
2009-08-25,1413,0.0,0.0,0.41
2009-08-26,1413,0.0,0.0,0.4
2009-08-27,1413,0.0,0.0,0.4
2009-08-28,1413,0.0,0.0,0.4
2009-08-31,1413,0.0,0.0,0.4
2009-09-01,1413,0.0,0.0,0.41
2009-09-02,1413,0.0,0.0,0.41
2009-09-03,1413,0.0,0.0,0.43
2009-09-04,1413,0.0,0.0,0.44
2009-09-07,1413,0.0,0.0,0.43
2009-09-09,1413,0.0,0.0,0.43
2009-09-10,1413,0.0,0.0,0.43
2009-09-11,1413,0.0,0.0,0.43
2009-09-14,1413,0.0,0.0,0.45
2009-09-15,1413,0.0,0.0,0.45
2009-09-17,1413,0.0,0.0,0.49
2009-09-18,1413,0.0,0.0,0.5
2009-09-21,1413,0.0,0.0,0.5
2009-09-22,1413,0.0,0.0,0.5
2009-09-23,1413,0.0,0.0,0.49
2009-09-24,1413,0.0,0.0,0.48
2009-09-25,1413,0.0,0.0,0.48
2009-09-28,1413,0.0,0.0,0.47
2009-09-29,1413,0.0,0.0,0.48
2009-09-30,1413,0.0,0.0,0.48
2009-10-01,1413,0.0,0.0,0.51
2009-10-02,1413,0.0,0.0,0.5
2009-10-05,1413,0.0,0.0,0.5
2009-10-06,1413,0.0,0.0,0.5
2009-10-07,1413,0.0,0.0,0.51
2009-10-08,1413,0.0,0.0,0.5
2009-10-09,1413,0.0,0.0,0.51
2009-10-12,1413,0.0,0.0,0.55
2009-10-13,1413,0.0,0.0,0.59
2009-10-14,1413,0.0,0.0,0.61
2009-10-15,1413,0.0,0.0,0.57
2009-10-16,1413,0.0,0.0,0.58
2009-10-19,1413,0.0,0.0,0.62
2009-10-20,1413,0.0,0.0,0.6
2009-10-21,1413,0.0,0.0,0.61
2009-10-22,1413,0.0,0.0,0.59
2009-10-23,1413,0.0,0.0,0.6
2009-10-26,1413,0.0,0.0,0.58
2009-10-27,1413,0.0,0.0,0.59
2009-10-28,1413,0.0,0.0,0.58
2009-10-29,1413,0.0,0.0,0.57
2009-10-30,1413,0.0,0.0,0.59
2009-11-02,1413,0.0,0.0,0.58
2009-11-03,1413,0.0,0.0,0.61
2009-11-04,1413,0.0,0.0,0.62
2009-11-05,1413,0.0,0.0,0.61
2009-11-06,1413,0.0,0.0,0.59
2009-11-09,1413,0.0,0.0,0.61
2009-11-10,1413,0.0,0.0,0.6
2009-11-11,1413,0.0,0.0,0.6
2009-11-12,1413,0.0,0.0,0.6
2009-11-13,1413,0.0,0.0,0.59
2009-11-16,1413,0.0,0.0,0.6
2009-11-17,1413,0.0,0.0,0.6
2009-11-18,1413,0.0,0.0,0.64
2009-11-19,1413,0.0,0.0,0.63
2009-11-20,1413,0.0,0.0,0.64
2009-11-23,1413,0.0,0.0,0.63
2009-11-24,1413,0.0,0.0,0.62
2009-11-25,1413,0.0,0.0,0.62
2009-12-14,1413,0.0,0.0,0.62
2009-12-15,1413,0.0,0.0,0.66
2009-12-16,1413,0.0,0.0,0.7
2009-12-17,1413,0.0,0.0,0.7
2009-12-18,1413,0.0,0.0,0.68
2009-12-21,1413,0.0,0.0,0.72
2009-12-22,1413,0.0,0.0,0.7
2009-12-23,1413,0.0,0.0,0.69
2009-12-24,1413,0.0,0.0,0.67
2009-12-25,1413,0.0,0.0,0.68
2009-12-28,1413,0.0,0.0,0.68
2009-12-29,1413,0.0,0.0,0.68
2009-12-30,1413,0.0,0.0,0.68
2009-12-31,1413,0.0,0.0,0.68
2010-01-04,1413,0.0,0.0,0.69
2010-01-05,1413,0.0,0.0,0.69
2010-01-06,1413,0.0,0.0,0.7
2010-01-07,1413,0.0,0.0,0.69
2010-01-08,1413,0.0,0.0,0.7
2010-01-11,1413,0.0,0.0,0.75
2010-01-12,1413,0.0,0.0,0.8
2010-01-13,1413,0.0,0.0,0.79
2010-01-14,1413,0.0,0.0,0.77
2010-01-15,1413,0.0,0.0,0.76
2010-01-18,1413,0.0,0.0,0.8
2010-01-19,1413,0.0,0.0,0.79
2010-01-20,1413,0.0,0.0,0.77
2010-01-21,1413,0.0,0.0,0.75
2010-01-22,1413,0.0,0.0,0.72
2010-01-25,1413,0.0,0.0,0.7
2010-01-26,1413,0.0,0.0,0.69
2010-01-27,1413,0.0,0.0,0.69
2010-01-28,1413,0.0,0.0,0.69
2010-01-29,1413,0.0,0.0,0.68
2010-02-01,1413,0.0,0.0,0.68
2010-02-02,1413,0.0,0.0,0.69
2010-02-03,1413,0.0,0.0,0.7
2010-02-04,1413,0.0,0.0,0.69
2010-02-05,1413,0.0,0.0,0.67
2010-02-06,1413,0.0,0.0,0.64
2010-02-08,1413,0.0,0.0,0.65
2010-02-09,1413,0.0,0.0,0.67
2010-02-10,1413,0.0,0.0,0.68
2010-02-22,1413,0.0,0.0,0.68
2010-02-23,1413,0.0,0.0,0.68
2010-02-24,1413,0.0,0.0,0.68
2010-02-25,1413,0.0,0.0,0.67
2010-02-26,1413,0.0,0.0,0.68
2010-03-01,1413,0.0,0.0,0.68
2010-03-02,1413,0.0,0.0,0.68
2010-03-03,1413,0.0,0.0,0.7
2010-03-04,1413,0.0,0.0,0.72
2010-03-05,1413,0.0,0.0,0.69
2010-03-09,1413,0.0,0.0,0.69
2010-03-10,1413,0.0,0.0,0.69
2010-03-11,1413,0.0,0.0,0.7
2010-03-12,1413,0.0,0.0,0.7
2010-03-15,1413,0.0,0.0,0.69
2010-03-16,1413,0.0,0.0,0.68
2010-03-17,1413,0.0,0.0,0.69
2010-03-18,1413,0.0,0.0,0.7
2010-03-19,1413,0.0,0.0,0.71
2010-03-22,1413,0.0,0.0,0.72
2010-03-23,1413,0.0,0.0,0.74
2010-03-24,1413,0.0,0.0,0.74
2010-03-25,1413,0.0,0.0,0.73
2010-03-26,1413,0.0,0.0,0.74
2010-03-29,1413,0.0,0.0,0.73
2010-03-30,1413,0.0,0.0,0.72
2010-03-31,1413,0.0,0.0,0.72
2010-04-01,1413,0.0,0.0,0.73
2010-04-02,1413,0.0,0.0,0.73
2010-04-06,1413,0.0,0.0,0.74
2010-04-07,1413,0.0,0.0,0.75
2010-04-08,1413,0.0,0.0,0.75
2010-04-09,1413,0.0,0.0,0.77
2010-04-12,1413,0.0,0.0,0.82
2010-04-13,1413,0.0,0.0,0.82
2010-04-14,1413,0.0,0.0,0.81
2010-04-15,1413,0.0,0.0,0.81
2010-04-16,1413,0.0,0.0,0.81
2010-04-19,1413,0.0,0.0,0.77
2010-04-20,1413,0.0,0.0,0.79
2010-04-21,1413,0.0,0.0,0.81
2010-04-22,1413,0.0,0.0,0.8
2010-04-23,1413,0.0,0.0,0.8
2010-04-26,1413,0.0,0.0,0.83
2010-04-27,1413,0.0,0.0,0.81
2010-04-28,1413,0.0,0.0,0.83
2010-04-29,1413,0.0,0.0,0.84
2010-04-30,1413,0.0,0.0,0.82
2010-05-03,1413,0.0,0.0,0.79
2010-05-04,1413,0.0,0.0,0.78
2010-05-05,1413,0.0,0.0,0.75
2010-05-06,1413,0.0,0.0,0.73
2010-05-07,1413,0.0,0.0,0.67
2010-05-10,1413,0.0,0.0,0.69
2010-05-11,1413,0.0,0.0,0.7
2010-05-12,1413,0.0,0.0,0.7
2010-05-13,1413,0.0,0.0,0.73
2010-05-14,1413,0.0,0.0,0.73
2010-05-17,1413,0.0,0.0,0.72
2010-05-18,1413,0.0,0.0,0.73
2010-05-19,1413,0.0,0.0,0.73
2010-05-20,1413,0.0,0.0,0.71
2010-05-21,1413,0.0,0.0,0.7
2010-05-24,1413,0.0,0.0,0.71
2010-05-25,1413,0.0,0.0,0.66
2010-05-26,1413,0.0,0.0,0.66
2010-05-27,1413,0.0,0.0,0.68
2010-05-28,1413,0.0,0.0,0.68
2010-05-31,1413,0.0,0.0,0.69
2010-06-01,1413,0.0,0.0,0.67
2010-06-02,1413,0.0,0.0,0.66
2010-06-03,1413,0.0,0.0,0.67
2010-06-04,1413,0.0,0.0,0.67
2010-06-07,1413,0.0,0.0,0.66
2010-06-08,1413,0.0,0.0,0.66
2010-06-09,1413,0.0,0.0,0.66
2010-06-10,1413,0.0,0.0,0.66
2010-06-11,1413,0.0,0.0,0.66
2010-06-14,1413,0.0,0.0,0.67
2010-06-15,1413,0.0,0.0,0.68
2010-06-17,1413,0.0,0.0,0.68
2010-06-18,1413,0.0,0.0,0.68
2010-06-21,1413,0.0,0.0,0.69
2010-06-22,1413,0.0,0.0,0.73
2010-06-23,1413,0.0,0.0,0.72
2010-06-24,1413,0.0,0.0,0.72
2010-06-25,1413,0.0,0.0,0.72
2010-06-28,1413,0.0,0.0,0.72
2010-06-29,1413,0.0,0.0,0.7
2010-06-30,1413,0.0,0.0,0.7
2010-07-01,1413,0.0,0.0,0.71
2010-07-02,1413,0.0,0.0,0.72
2010-07-05,1413,0.0,0.0,0.72
2010-07-06,1413,0.0,0.0,0.72
2010-07-07,1413,0.0,0.0,0.72
2010-07-08,1413,0.0,0.0,0.72
2010-07-09,1413,0.0,0.0,0.73
2010-07-12,1413,0.0,0.0,0.73
2010-07-13,1413,0.0,0.0,0.73
2010-07-14,1413,0.0,0.0,0.73
2010-07-15,1413,0.0,0.0,0.73
2010-07-16,1413,0.0,0.0,0.73
2010-07-19,1413,0.0,0.0,0.72
2010-07-20,1413,0.0,0.0,0.72
2010-07-21,1413,0.0,0.0,0.72
2010-07-22,1413,0.0,0.0,0.73
2010-07-23,1413,0.0,0.0,0.75
2010-07-26,1413,0.0,0.0,0.76
2010-07-27,1413,0.0,0.0,0.76
2010-07-28,1413,0.0,0.0,0.76
2010-07-29,1413,0.0,0.0,0.78
2010-07-30,1413,0.0,0.0,0.79
2010-08-02,1413,0.0,0.0,0.81
2010-08-03,1413,0.0,0.0,0.81
2010-08-04,1413,0.0,0.0,0.87
2010-08-05,1413,0.0,0.0,0.93
2010-08-06,1413,0.0,0.0,0.99
2010-08-09,1413,0.0,0.0,1.06
2010-08-10,1413,0.0,0.0,1.0
2010-08-11,1413,0.0,0.0,1.01
2010-08-12,1413,0.0,0.0,1.03
2010-08-13,1413,0.0,0.0,1.0
2010-08-16,1413,0.0,0.0,1.04
2010-08-17,1413,0.0,0.0,1.06
2010-08-18,1413,0.0,0.0,1.03
2010-08-19,1413,0.0,0.0,1.02
2010-08-20,1413,0.0,0.0,1.04
2010-08-23,1413,0.0,0.0,1.05
2010-08-24,1413,0.0,0.0,1.04
2010-08-25,1413,0.0,0.0,1.01
2010-08-26,1413,0.0,0.0,1.0
2010-08-27,1413,0.0,0.0,1.0
2010-08-30,1413,0.0,0.0,1.01
2010-08-31,1413,0.0,0.0,0.96
2010-09-01,1413,0.0,0.0,0.97
2010-09-02,1413,0.0,0.0,1.03
2010-09-03,1413,0.0,0.0,1.02
2010-09-06,1413,0.0,0.0,1.0
2010-09-07,1413,0.0,0.0,1.01
2010-09-08,1413,0.0,0.0,1.01
2010-09-09,1413,0.0,0.0,1.01
2010-09-10,1413,0.0,0.0,1.01
2010-09-13,1413,0.0,0.0,1.02
2010-09-14,1413,0.0,0.0,1.09
2010-09-15,1413,0.0,0.0,1.07
2010-09-16,1413,0.0,0.0,1.04
2010-09-17,1413,0.0,0.0,1.11
2010-09-20,1413,0.0,0.0,1.19
2010-09-21,1413,0.0,0.0,1.27
2010-09-23,1413,0.0,0.0,1.36
2010-09-24,1413,0.0,0.0,1.35
2010-09-27,1413,0.0,0.0,1.32
2010-09-28,1413,0.0,0.0,1.29
2010-09-29,1413,0.0,0.0,1.26
2010-09-30,1413,0.0,0.0,1.27
2010-10-01,1413,0.0,0.0,1.36
2010-10-04,1413,0.0,0.0,1.36
2010-10-05,1413,0.0,0.0,1.42
2010-10-06,1413,0.0,0.0,1.52
2010-10-07,1413,0.0,0.0,1.52
2010-10-08,1413,0.0,0.0,1.43
2010-10-11,1413,0.0,0.0,1.45
2010-10-12,1413,0.0,0.0,1.4
2010-10-13,1413,0.0,0.0,1.39
2010-10-14,1413,0.0,0.0,1.39
2010-10-15,1413,0.0,0.0,1.42
2010-10-18,1413,0.0,0.0,1.42
2010-10-19,1413,0.0,0.0,1.39
2010-10-20,1413,0.0,0.0,1.36
2010-10-21,1413,0.0,0.0,1.4
2010-10-22,1413,0.0,0.0,1.39
2010-10-25,1413,0.0,0.0,1.48
2010-10-26,1413,0.0,0.0,1.46
2010-10-27,1413,0.0,0.0,1.41
2010-10-28,1413,0.0,0.0,1.39
2010-10-29,1413,0.0,0.0,1.37
2010-11-01,1413,0.0,0.0,1.31
2010-11-02,1413,0.0,111.11,1.22
2010-11-03,1413,0.0,117.78,1.3
2010-11-04,1413,0.0,118.89,1.31
2010-11-05,1413,0.0,121.11,1.33
2010-11-08,1413,0.0,127.78,1.41
2010-11-09,1413,0.0,130.56,1.44
2010-11-10,1413,0.0,124.44,1.37
2010-11-11,1413,0.0,123.33,1.36
